show_id,event_id,event_venue_id,show_date,start_time,price,total_seats,available_seats,show_publicly
1000039,1004488,1002047,2022-02-13,19:29:51,527,480,,f
1000041,1004908,1001684,2022-11-18,08:22:50,232,186,169,f
1000042,1000793,1004344,2020-04-09,16:14:21,997,36,28,t
1000046,1000119,1001219,2020-12-20,06:17:27,249,236,231,f
1000047,1000238,1001181,2018-10-12,04:46:44,606,64,56,t
1000049,1002728,1001913,2018-03-02,18:38:44,964,158,,f
1000051,1000505,1000058,2018-11-25,16:22:30,580,15,,f
1000054,1004882,1004059,2021-04-24,18:32:05,939,162,152,t
1000056,1002377,1001471,2019-12-26,06:30:59,674,431,,t
1000057,1004535,1003323,2019-04-14,00:03:10,517,153,146,t
1000060,1004689,1004577,2020-11-01,12:46:00,524,364,360,t
1000062,1001781,1003705,2020-04-21,19:34:58,259,161,,f
1000063,1004824,1003688,2017-10-02,10:45:12,799,102,91,f
1000066,1001929,1001406,2020-05-17,20:43:22,651,430,428,t
1000067,1001975,1004942,2018-01-12,18:33:13,619,345,335,f
1000068,1002131,1000154,2021-12-07,00:44:03,876,353,347,f
1000069,1000704,1004352,2020-09-12,23:39:18,255,254,246,t
1000071,1000330,1000118,2018-04-21,14:45:39,988,193,,t
1000073,1003384,1000754,2018-04-12,03:23:41,925,200,196,f
1000074,1001407,1001807,2022-10-27,11:55:55,203,417,,f
1000075,1003675,1000121,2022-06-02,09:00:49,736,224,218,t
1000077,1001662,1002351,2021-03-28,10:23:04,561,173,163,t
1000080,1001055,1001310,2019-12-08,20:09:41,218,24,16,t
1000082,1001923,1000415,2020-12-08,10:35:51,786,442,438,f
1000083,1003360,1003041,2019-10-21,16:57:29,373,153,143,t
1000084,1003726,1003537,2021-09-29,01:26:28,457,358,355,f
1000086,1000201,1000864,2018-11-29,19:30:04,672,155,,t
1000087,1004906,1001744,2019-08-07,22:58:10,634,479,,f
1000092,1004366,1000914,2018-09-04,21:50:48,260,267,260,f
1000093,1003164,1002743,2019-08-06,23:44:57,645,60,,f
1000096,1000236,1000039,2020-10-21,20:49:42,156,243,238,f
1000101,1002930,1002365,2018-07-04,12:20:23,929,139,128,t
1000102,1001064,1001962,2021-09-26,04:12:11,65,327,309,f
1000103,1003599,1003974,2021-11-30,04:47:37,574,55,52,t
1000104,1000598,1002059,2019-01-09,20:28:25,571,195,190,t
1000107,1001817,1001284,2018-07-21,11:21:49,638,260,,t
1000110,1002115,1001872,2017-07-02,06:37:03,499,449,441,t
1000112,1002953,1003393,2021-12-30,05:45:21,92,389,,f
1000113,1002187,1000720,2020-02-03,11:42:21,541,54,43,t
1000114,1002800,1004163,2022-10-02,02:50:03,307,81,71,t
1000115,1002024,1003843,2021-02-21,06:59:07,785,357,,f
1000116,1004703,1004343,2022-03-13,05:09:15,806,284,,f
1000117,1003626,1002888,2018-02-18,08:56:06,529,70,60,t
1000119,1003817,1003890,2020-10-24,03:50:25,571,217,,t
1000120,1004763,1001014,2017-10-29,13:01:56,74,426,,f
1000121,1000236,1003514,2018-06-06,19:20:28,286,459,455,f
1000123,1004065,1004478,2021-02-20,13:43:39,687,484,471,f
1000155,1002524,1004903,2021-12-08,17:41:32,188,220,219,f
1000158,1002561,1000953,2022-08-07,07:09:37,114,244,,t
1000159,1000221,1003990,2019-11-05,02:10:27,759,133,128,t
1000160,1001907,1000577,2020-09-05,22:10:35,397,195,,t
1000163,1004030,1002714,2019-12-21,12:39:26,672,350,,f
1000164,1002236,1001549,2022-09-08,21:18:30,576,190,188,f
1000166,1002629,1001937,2018-11-17,14:00:33,894,247,240,f
1000167,1000205,1002351,2017-06-02,20:16:55,303,201,195,f
1000168,1003357,1000105,2018-08-20,10:15:19,763,133,126,t
1000169,1000269,1003009,2022-11-02,17:33:00,884,76,66,f
1000170,1002823,1003852,2021-01-02,23:48:18,208,251,243,f
1000171,1003265,1000775,2019-04-01,05:42:39,714,40,,t
1000172,1004301,1000824,2021-01-02,05:51:55,325,500,,t
1000177,1001978,1004462,2017-03-30,01:38:49,547,390,382,t
1000181,1001596,1004158,2019-02-02,03:20:45,134,16,3,t
1000183,1002198,1004248,2020-09-01,07:14:34,770,47,41,f
1000184,1000887,1002952,2017-03-26,23:41:00,81,393,384,t
1000185,1004300,1001785,2017-12-13,09:51:35,526,17,,t
1000192,1000170,1002469,2017-06-05,07:07:47,640,196,166,t
1000194,1004015,1004338,2021-05-06,18:04:21,26,189,174,f
1000195,1001651,1003983,2021-01-10,09:48:46,170,425,415,t
1000197,1003210,1004411,2019-10-15,07:31:31,37,328,321,f
1000198,1004693,1001809,2022-05-13,20:58:55,156,333,324,f
1000201,1002501,1004038,2022-02-13,14:57:49,57,455,449,f
1000202,1001239,1002766,2020-01-06,03:31:17,169,444,,t
1000204,1000825,1004756,2021-07-30,22:58:10,378,128,109,t
1000207,1004772,1002468,2021-03-22,01:09:27,810,172,163,t
1000208,1003260,1000079,2018-10-08,07:16:57,718,174,164,f
1000210,1002246,1004712,2022-02-05,18:38:59,439,132,127,t
1000213,1002387,1000903,2022-06-18,14:04:41,846,198,,f
1000219,1002432,1004649,2021-09-12,06:59:56,799,444,441,f
1000220,1000907,1002012,2022-09-04,14:35:40,791,382,,t
1000221,1002445,1004980,2019-05-05,07:52:15,853,215,,f
1000222,1001908,1002436,2020-05-21,20:28:29,418,16,,t
1000223,1000843,1001618,2022-07-20,02:41:22,611,448,,f
1000225,1000505,1002659,2021-06-11,17:33:32,643,208,,f
1000231,1003678,1003871,2020-06-05,16:59:50,650,220,217,t
1000233,1003222,1004999,2022-05-06,04:11:40,90,412,401,t
1000234,1004150,1002379,2021-05-26,10:19:44,716,126,121,f
1000235,1003033,1003777,2020-04-28,21:02:50,402,460,452,t
1000239,1003626,1001832,2019-07-08,18:59:41,489,129,126,f
1000240,1000814,1003553,2021-08-19,21:48:00,21,475,,t
1000242,1002794,1000145,2018-08-17,20:34:24,188,393,,f
1000247,1000584,1000215,2021-04-09,09:23:32,783,260,248,f
1000248,1000645,1002254,2022-03-20,03:45:28,855,495,,t
1000253,1004927,1002544,2019-10-16,04:12:12,487,383,380,t
1000254,1001412,1000282,2021-08-28,05:45:31,185,361,346,t
1000255,1002124,1000520,2022-10-31,07:42:40,856,73,65,f
1000258,1001830,1003944,2019-05-17,14:22:48,892,452,,f
1000261,1003867,1002028,2019-06-16,13:29:41,730,196,171,t
1000262,1001057,1003887,2019-10-25,04:43:45,691,471,,t
1000263,1002116,1001859,2022-09-15,15:03:40,979,454,,f
1000264,1000820,1001776,2020-07-15,22:38:46,391,11,10,f
1000268,1000388,1004599,2020-01-06,02:53:38,399,361,,f
1000269,1004183,1003652,2017-05-04,04:45:18,523,456,453,f
1000270,1004373,1001092,2022-06-16,22:02:15,985,109,104,t
1000271,1001605,1002245,2021-05-11,10:09:51,602,255,,f
1000276,1003504,1001676,2021-10-11,10:14:11,139,478,475,t
1000277,1001374,1000460,2019-03-03,17:55:37,733,146,141,f
1000280,1001365,1002010,2018-01-15,16:11:54,775,201,196,t
1000284,1002435,1003434,2017-01-03,12:54:54,322,30,,f
1000285,1004726,1000991,2021-06-30,18:54:37,582,212,210,f
1000286,1000051,1000345,2017-09-21,10:05:38,671,79,77,t
1000289,1004472,1003615,2020-10-18,11:07:26,912,431,428,f
1000291,1000479,1004167,2022-08-16,05:03:43,733,324,318,f
1000292,1003481,1002080,2018-07-25,21:50:04,710,292,,t
1000296,1002759,1001808,2018-03-23,20:55:38,931,497,,t
1000298,1000741,1004229,2020-10-12,14:15:07,900,58,40,t
1000301,1002430,1000317,2022-02-21,03:56:11,170,227,220,f
1000302,1003830,1004990,2018-02-13,04:27:20,538,112,,t
1000308,1004590,1002420,2018-11-19,15:02:01,813,46,44,f
1000310,1004140,1002885,2020-09-27,10:05:06,397,425,420,t
1000311,1003272,1003574,2022-03-21,02:02:52,342,418,,t
1000320,1002152,1001169,2021-11-24,20:15:55,619,194,186,f
1000323,1004697,1004317,2019-07-13,21:32:08,181,214,,f
1000324,1004577,1004924,2020-07-05,21:58:48,960,340,,t
1000325,1003219,1000482,2020-10-18,06:26:14,372,237,233,f
1000328,1003679,1003183,2016-09-19,04:39:52,54,294,,t
1000331,1003091,1003251,2020-05-30,22:31:21,392,315,,f
1000333,1004616,1002142,2018-08-05,22:33:34,490,402,,t
1000335,1003792,1000767,2022-03-13,13:50:05,218,28,24,f
1000336,1003345,1003996,2022-07-31,19:55:20,62,390,,f
1000337,1002912,1000472,2021-07-29,23:21:29,75,154,,t
1000339,1003469,1001058,2017-11-21,19:02:57,10,214,,f
1000340,1003779,1002066,2018-01-23,02:48:18,327,160,,t
1000342,1003845,1000498,2022-05-07,01:15:29,327,111,103,t
1000344,1002902,1002464,2019-09-06,06:28:23,779,444,,t
1000345,1002159,1004618,2022-08-20,08:17:18,952,353,345,t
1000346,1002400,1000197,2019-03-25,15:24:39,53,338,,f
1000353,1003039,1004245,2021-11-14,19:18:06,732,439,438,t
1000355,1002703,1001593,2021-10-18,00:08:34,873,33,28,f
1000356,1003069,1001466,2021-07-04,17:39:46,372,463,456,f
1000357,1003576,1004806,2021-04-21,17:27:48,872,388,385,t
1000358,1003984,1002641,2020-11-21,21:22:04,747,466,465,f
1000359,1002497,1000812,2017-11-20,23:57:08,176,170,169,f
1000362,1002256,1003810,2021-03-18,02:26:35,240,118,109,t
