booking_id,user_id,show_id,seats
1000001,1001820,1001390,1
1000002,1001959,1000236,8
1000003,1000365,1000599,3
1000004,1001928,1004485,8
1000005,1003576,1002666,6
1000006,1003986,1003410,4
1000007,1001693,1002675,8
1000008,1001478,1003422,7
1000009,1001485,1002376,6
1000010,1004879,1000389,2
1000011,1002971,1003658,2
1000012,1000132,1003855,1
1000013,1000254,1001666,2
1000014,1001970,1000489,10
1000015,1003099,1001987,5
1000016,1004141,1003700,4
1000017,1002644,1002500,1
1000018,1002680,1004627,1
1000019,1004341,1001323,7
1000020,1003606,1004657,1
1000021,1004012,1000903,1
1000022,1001829,1001772,1
1000023,1002616,1004077,1
1000024,1002365,1003728,10
1000025,1003131,1002311,5
1000026,1002116,1003188,10
1000027,1004966,1000436,4
1000028,1002522,1002051,2
1000029,1004184,1001028,3
1000030,1002789,1002641,5
1000031,1004789,1003929,7
1000032,1003590,1002325,5
1000033,1003215,1000970,10
1000034,1003125,1004226,9
1000035,1003418,1001909,7
1000036,1003060,1004807,3
1000037,1002091,1004569,10
1000038,1002284,1000809,6
1000039,1000902,1003916,10
1000040,1004932,1003956,4
1000041,1004480,1003502,4
1000042,1003085,1001941,10
1000043,1002773,1004419,8
1000044,1004837,1004876,8
1000045,1004205,1002676,4
1000046,1004244,1001690,5
1000047,1003289,1002812,1
1000048,1001342,1002234,4
1000049,1002271,1003118,1
1000050,1003858,1000355,5
1000051,1000113,1001976,6
1000052,1000139,1003615,10
1000053,1001581,1000522,10
1000054,1000999,1002888,8
1000055,1003497,1003578,9
1000056,1002993,1002460,2
1000057,1000260,1004417,7
1000058,1004759,1001221,10
1000059,1002262,1000215,9
1000060,1004578,1000726,10
1000061,1000188,1003087,1
1000062,1000316,1000654,6
1000063,1002669,1001178,10
1000064,1004922,1002594,10
1000065,1001434,1002539,3
1000066,1000903,1004521,1
1000067,1004880,1001300,8
1000068,1002726,1002895,2
1000069,1001882,1003422,8
1000070,1004520,1003553,3
1000071,1000774,1002366,9
1000072,1002657,1001106,6
1000073,1000204,1002592,7
1000074,1001194,1004609,2
1000075,1001604,1001679,8
1000076,1001234,1001605,6
1000077,1003505,1004687,1
1000078,1000360,1001497,7
1000079,1004943,1002706,5
1000080,1002716,1001688,3
1000081,1004782,1002618,8
1000082,1002176,1002189,4
1000083,1004889,1004780,4
1000084,1001676,1001981,2
1000085,1002795,1003347,10
1000086,1001252,1003576,6
1000087,1000648,1003825,9
1000088,1000273,1002664,1
1000089,1000578,1002557,10
1000090,1001816,1000816,6
1000091,1003367,1001402,3
1000092,1001724,1000289,1
1000093,1000713,1001667,9
1000094,1001936,1002334,6
1000095,1000653,1004882,6
1000096,1002693,1000251,7
1000097,1004345,1004593,6
1000098,1001365,1000820,6
1000099,1003824,1004063,1
1000100,1001352,1004931,5
1000101,1003667,1001084,5
1000102,1004624,1002604,9
1000103,1004205,1003267,4
1000104,1003313,1000305,1
1000105,1001920,1003844,7
1000106,1000098,1001251,8
1000107,1001790,1001567,3
1000108,1001712,1001394,1
1000109,1000489,1003872,6
1000110,1000092,1000140,1
1000111,1001103,1001010,8
1000112,1003903,1001606,2
1000113,1001356,1003642,1
1000114,1004095,1000611,2
1000115,1000214,1002749,7
1000116,1001143,1001466,1
1000117,1003849,1001742,1
1000118,1001751,1000230,4
1000119,1003063,1001697,2
1000120,1001359,1001537,5
1000121,1003533,1003167,8
1000122,1001678,1001489,6
1000123,1000738,1000069,8
1000124,1000377,1000383,1
1000125,1004651,1001600,1
1000126,1004748,1000924,3
1000127,1003162,1001259,10
1000128,1004069,1003447,8
1000129,1002484,1001209,2
1000130,1003321,1004275,7
1000131,1003597,1000752,2
1000132,1002530,1000665,9
1000133,1004771,1001232,2
1000134,1003968,1002171,5
1000135,1002302,1001024,5
1000136,1002730,1002544,1
1000137,1003140,1000996,8
1000138,1003353,1004039,2
1000139,1004586,1002445,9
1000140,1002509,1001181,4
1000141,1004111,1003410,4
1000142,1000495,1002683,8
1000143,1001163,1004049,5
1000144,1004222,1000095,7
1000145,1003070,1002499,6
1000146,1004412,1000697,10
1000147,1004401,1003185,7
1000148,1004287,1002046,5
1000149,1003501,1004730,5
1000150,1004756,1002261,5
1000151,1002805,1002352,5
1000152,1004481,1001867,6
1000153,1001695,1003966,6
1000154,1002275,1004784,4
1000155,1004755,1002837,5
1000156,1000614,1000661,9
1000157,1004474,1002088,2
1000158,1003109,1004466,4
1000159,1001382,1001973,7
1000160,1002820,1001092,8
1000161,1000465,1001178,6
1000162,1001527,1001818,10
1000163,1001670,1001618,5
1000164,1002886,1001158,3
1000165,1000340,1003246,2
1000166,1002029,1000509,5
1000167,1001450,1000266,10
1000168,1001894,1003346,9
1000169,1003571,1003745,2
1000170,1002190,1004744,8
1000171,1004433,1002521,2
1000172,1004583,1001236,1
1000173,1000666,1000629,10
1000174,1000394,1004160,5
1000175,1001355,1003575,2
1000176,1002465,1001171,8
1000177,1003355,1003416,6
1000178,1001983,1001366,9
1000179,1001446,1001607,5
1000180,1004937,1001975,5
1000181,1003926,1001059,3
1000182,1002699,1001132,8
1000183,1000289,1002925,5
1000184,1003207,1004662,10
1000185,1004095,1000857,2
1000186,1001961,1004738,7
1000187,1004716,1002621,7
1000188,1001907,1000429,8
1000189,1002410,1004373,5
1000190,1003367,1001418,7
1000191,1004698,1003533,2
1000192,1001676,1004537,4
1000193,1004849,1002883,3
1000194,1000267,1002189,3
1000195,1004950,1004641,2
1000196,1001127,1002627,8
1000197,1003672,1004808,6
1000198,1003171,1004167,3
1000199,1001944,1003856,3
1000200,1001059,1003290,5
1000201,1001372,1000495,8
1000202,1000115,1003595,9
1000203,1003701,1003401,7
1000204,1003400,1000092,7
1000205,1004165,1004388,1
1000206,1004463,1003240,10
1000207,1002689,1003183,1
1000208,1000384,1001683,8
1000209,1002013,1004327,4
1000210,1002288,1003970,6
1000211,1001525,1001620,2
1000212,1002472,1003547,2
1000213,1004705,1003915,1
1000214,1004875,1002626,7
1000215,1004158,1002424,4
1000216,1001357,1002706,10
1000217,1004223,1003258,4
1000218,1003260,1004048,9
1000219,1003599,1000868,1
1000220,1003338,1000559,10
1000221,1001080,1000793,1
1000222,1001193,1004930,2
1000223,1000875,1000688,5
1000224,1002998,1000038,3
1000225,1004464,1003693,4
1000226,1002388,1003789,7
1000227,1004250,1002566,4
1000228,1001536,1003196,3
1000229,1002816,1002298,6
1000230,1004469,1001988,7
1000231,1001829,1001275,9
1000232,1004750,1002961,7
1000233,1001810,1000592,6
1000234,1000741,1001343,7
1000235,1003289,1001223,1
1000236,1002218,1000314,2
1000237,1002105,1004669,10
1000238,1001623,1001673,5
1000239,1001895,1000269,3
1000240,1004440,1004237,5
1000241,1002277,1004469,3
1000242,1004457,1001735,10
1000243,1003253,1003331,4
1000244,1003281,1002569,7
1000245,1000048,1001154,1
1000246,1004626,1000121,4
1000247,1000585,1004983,8
1000248,1003614,1004408,5
1000249,1000438,1002149,8
1000250,1001174,1002413,6
1000251,1002890,1001627,8
1000252,1000101,1001685,5
1000253,1003728,1002654,6
1000254,1002762,1004090,5
1000255,1002494,1002963,6
1000256,1004348,1004330,5
1000257,1001243,1003674,9
1000258,1001788,1001461,7
1000259,1002397,1003920,2
1000260,1002677,1002850,2
1000261,1003434,1000134,7
1000262,1004286,1002515,3
1000263,1001139,1003481,7
1000264,1002936,1000765,9
1000265,1002811,1000957,8
1000266,1002035,1003002,5
1000267,1000774,1001382,10
1000268,1003994,1002530,1
1000269,1004158,1002564,4
1000270,1001395,1001858,7
1000271,1000801,1003887,3
1000272,1001559,1003656,8
1000273,1004278,1002911,9
1000274,1000554,1001186,2
1000275,1002809,1000454,4
1000276,1002827,1002826,2
