rent_id,event_id,rent_price,rent_duration,available
1000001,1001988,619,5,f
1000002,1003282,504,145,t
1000003,1001548,590,145,f
1000004,1004230,611,3,f
1000005,1001032,149,145,t
1000006,1004897,182,3,t
1000007,1004082,582,5,t
1000008,1000459,788,3,f
1000009,1000689,649,7,f
1000010,1003210,546,2,f
1000011,1003540,699,3,f
1000012,1000611,189,3,t
1000013,1000775,342,14,t
1000014,1004931,914,2,f
1000015,1001935,389,7,f
1000016,1000807,142,1,f
1000017,1004074,611,14,f
1000018,1003787,911,2,f
1000019,1002487,414,7,t
1000020,1002806,947,4,f
1000021,1001164,335,14,t
1000022,1001765,27,5,f
1000023,1002419,811,28,f
1000024,1001836,565,365,f
1000025,1003807,893,7,f
1000026,1004678,24,1,f
1000027,1004362,425,5,f
1000028,1002203,247,14,t
1000029,1003475,973,3,f
1000030,1000474,399,7,f
1000031,1003439,272,28,t
1000032,1003578,984,2,f
1000033,1003396,724,7,t
1000034,1001618,633,7,t
1000035,1003828,575,5,f
1000036,1000257,100,3,f
1000037,1000502,110,3,t
1000038,1002099,78,14,f
1000039,1001075,114,14,t
1000040,1000874,398,2,t
1000041,1003044,387,3,t
1000042,1000567,781,5,t
1000043,1003558,69,28,f
1000044,1003096,595,3,t
1000045,1004625,773,2,f
1000046,1003437,40,2,f
1000047,1001841,66,28,f
1000048,1003611,197,3,f
1000049,1000446,147,7,t
1000050,1002957,450,28,f
1000051,1000046,714,1,t
1000052,1000478,319,4,f
1000053,1001084,653,14,f
1000054,1002314,499,28,t
1000055,1004047,476,14,f
1000056,1002055,191,1,f
1000057,1000582,366,2,f
1000058,1004929,586,1,t
1000059,1000805,955,7,t
1000060,1002313,637,14,f
1000061,1003886,711,3,f
1000062,1002675,390,28,t
1000063,1002087,337,3,f
1000064,1003262,688,14,t
1000065,1002499,33,7,t
1000066,1004968,198,7,f
1000067,1002657,510,3,f
1000068,1001183,187,28,t
1000069,1001171,255,5,t
1000070,1004991,309,14,f
1000071,1001253,652,28,t
1000072,1003319,493,365,f
1000073,1003439,427,5,f
1000074,1004158,749,365,t
1000075,1003554,658,28,f
1000076,1004604,42,28,t
1000077,1000301,345,1,t
1000078,1000407,39,365,t
1000079,1002409,50,1,f
1000080,1004722,346,2,f
1000081,1000812,485,2,f
1000082,1004476,622,14,f
1000083,1003037,748,3,t
1000084,1000584,502,1,f
1000085,1000692,118,7,t
1000086,1003441,931,2,t
1000087,1001470,544,365,t
1000088,1001715,75,365,t
1000089,1004326,336,28,t
1000090,1004109,323,3,f
1000091,1004727,650,14,t
1000092,1002564,266,2,t
1000093,1001438,750,3,f
1000094,1003105,123,365,f
1000095,1000712,363,3,f
1000096,1000183,771,14,f
1000097,1000762,192,1,f
1000098,1004104,327,4,f
1000099,1003919,528,365,f
1000100,1003458,586,7,f
1000101,1003817,855,28,f
1000102,1003345,18,28,t
1000103,1004911,192,4,f
1000104,1000429,220,2,t
1000105,1000699,455,14,f
1000106,1002181,426,4,f
1000107,1004562,982,3,t
1000108,1002515,212,3,f
1000109,1004312,18,5,t
1000110,1002513,304,28,f
1000111,1003300,134,7,t
1000112,1002997,625,365,t
1000113,1001827,868,365,t
1000114,1001511,145,145,t
1000115,1003472,97,5,f
1000116,1000684,298,28,f
1000117,1003520,520,14,f
1000118,1004177,374,2,t
1000119,1002108,976,2,f
1000120,1002006,576,2,t
1000121,1004907,925,4,t
1000122,1003193,116,7,f
1000123,1000215,466,4,t
1000124,1000294,953,365,f
1000125,1000150,722,5,f
1000126,1002430,167,3,t
1000127,1003288,492,14,f
1000128,1002843,227,4,f
1000129,1002355,661,1,t
1000130,1003662,724,365,f
1000131,1002061,216,2,f
1000132,1004054,446,7,f
1000133,1004536,550,28,f
1000134,1003711,940,365,f
1000135,1004724,687,28,f
1000136,1003974,772,14,t
1000137,1004416,192,365,f
1000138,1000207,908,4,t
1000139,1003583,938,28,t
1000140,1002979,297,28,t
1000141,1001731,740,7,f
1000142,1004019,690,4,t
1000143,1000409,243,4,t
1000144,1002418,332,4,f
1000145,1002260,231,5,f
1000146,1004158,210,14,f
1000147,1000102,578,1,f
1000148,1001504,920,7,t
1000149,1001020,805,1,t
1000150,1000530,267,28,f
1000151,1002825,185,1,t
1000152,1003638,905,3,f
1000153,1002188,759,28,t
1000154,1004478,922,28,f
1000155,1000295,28,3,t
1000156,1003525,944,145,f
1000157,1001137,384,4,f
1000158,1000586,420,4,f
1000159,1004522,950,3,t
1000160,1002572,540,1,t
1000161,1002279,128,1,t
1000162,1004798,263,145,f
1000163,1003181,836,2,f
1000164,1004942,168,2,f
1000165,1002867,508,1,f
1000166,1003365,484,4,f
1000167,1001646,487,4,f
1000168,1003909,40,365,f
1000169,1003384,623,365,f
1000170,1001533,233,5,f
1000171,1003957,835,2,f
1000172,1000785,247,1,t
1000173,1002219,95,5,t
1000174,1003152,314,145,f
1000175,1004364,88,4,t
1000176,1000149,102,1,t
1000177,1002830,937,145,t
1000178,1001197,942,28,f
1000179,1001657,409,7,t
1000180,1003073,368,4,f
1000181,1000787,391,1,f
1000182,1002312,474,14,t
1000183,1001707,820,365,t
1000184,1001391,825,365,f
1000185,1001267,586,14,f
1000186,1001457,211,2,t
1000187,1003176,142,1,t
1000188,1000037,949,1,t
1000189,1002873,38,3,t
1000190,1002570,892,7,t
1000191,1002977,223,7,t
1000192,1000362,987,7,t
1000193,1002727,712,145,f
1000194,1000999,433,365,f
1000195,1002444,265,1,f
1000196,1003244,662,365,t
1000197,1001096,395,2,t
1000198,1000467,389,5,t
1000199,1001328,7,1,f
1000200,1003350,670,1,t
1000201,1003981,450,4,t
1000202,1002852,477,5,f
1000203,1003915,172,14,t
1000204,1004407,947,5,t
1000205,1001629,922,365,t
1000206,1003915,320,2,t
1000207,1003490,967,7,t
1000208,1002999,769,145,f
