show_id,event_id,event_venue_id,show_date,start_time,price,total_seats,available_seats,show_publicly
1000041,1004908,1001684,18-11-2022,08:22:50,232,186,169,f
1000042,1000793,1004344,09-04-2020,16:14:21,997,36,28,t
1000046,1000119,1001219,20-12-2020,06:17:27,249,236,231,f
1000047,1000238,1001181,12-10-2018,04:46:44,606,64,56,t
1000049,1002728,1001913,02-03-2018,18:38:44,964,158,,f
1000051,1000505,1000058,25-11-2018,16:22:30,580,15,,f
1000054,1004882,1004059,24-04-2021,18:32:05,939,162,152,t
1000056,1002377,1001471,26-12-2019,06:30:59,674,431,,t
1000057,1004535,1003323,14-04-2019,00:03:10,517,153,146,t
1000060,1004689,1004577,01-11-2020,12:46:00,524,364,360,t
1000062,1001781,1003705,21-04-2020,19:34:58,259,161,,f
1000063,1004824,1003688,02-10-2017,10:45:12,799,102,91,f
1000066,1001929,1001406,17-05-2020,20:43:22,651,430,428,t
1000067,1001975,1004942,12-01-2018,18:33:13,619,345,335,f
1000068,1002131,1000154,07-12-2021,00:44:03,876,353,347,f
1000069,1000704,1004352,12-09-2020,23:39:18,255,254,246,t
1000071,1000330,1000118,21-04-2018,14:45:39,988,193,,t
1000073,1003384,1000754,12-04-2018,03:23:41,925,200,196,f
1000074,1001407,1001807,27-10-2022,11:55:55,203,417,,f
1000075,1003675,1000121,02-06-2022,09:00:49,736,224,218,t
1000077,1001662,1002351,28-03-2021,10:23:04,561,173,163,t
1000080,1001055,1001310,08-12-2019,20:09:41,218,24,16,t
1000082,1001923,1000415,08-12-2020,10:35:51,786,442,438,f
1000083,1003360,1003041,21-10-2019,16:57:29,373,153,143,t
1000084,1003726,1003537,29-09-2021,01:26:28,457,358,355,f
1000086,1000201,1000864,29-11-2018,19:30:04,672,155,,t
1000087,1004906,1001744,07-08-2019,22:58:10,634,479,,f
1000092,1004366,1000914,04-09-2018,21:50:48,260,267,260,f
1000093,1003164,1002743,06-08-2019,23:44:57,645,60,,f
1000096,1000236,1000039,21-10-2020,20:49:42,156,243,238,f
1000101,1002930,1002365,04-07-2018,12:20:23,929,139,128,t
1000102,1001064,1001962,26-09-2021,04:12:11,65,327,309,f
1000103,1003599,1003974,30-11-2021,04:47:37,574,55,52,t
1000104,1000598,1002059,09-01-2019,20:28:25,571,195,190,t
1000107,1001817,1001284,21-07-2018,11:21:49,638,260,,t
1000110,1002115,1001872,02-07-2017,06:37:03,499,449,441,t
1000112,1002953,1003393,30-12-2021,05:45:21,92,389,,f
1000113,1002187,1000720,03-02-2020,11:42:21,541,54,43,t
1000114,1002800,1004163,02-10-2022,02:50:03,307,81,71,t
1000115,1002024,1003843,21-02-2021,06:59:07,785,357,,f
1000116,1004703,1004343,13-03-2022,05:09:15,806,284,,f
1000117,1003626,1002888,18-02-2018,08:56:06,529,70,60,t
1000119,1003817,1003890,24-10-2020,03:50:25,571,217,,t
1000120,1004763,1001014,29-10-2017,13:01:56,74,426,,f
1000121,1000236,1003514,06-06-2018,19:20:28,286,459,455,f
1000123,1004065,1004478,20-02-2021,13:43:39,687,484,471,f
1000155,1002524,1004903,08-12-2021,17:41:32,188,220,219,f
1000158,1002561,1000953,07-08-2022,07:09:37,114,244,,t
1000159,1000221,1003990,05-11-2019,02:10:27,759,133,128,t
1000160,1001907,1000577,05-09-2020,22:10:35,397,195,,t
1000163,1004030,1002714,21-12-2019,12:39:26,672,350,,f
1000164,1002236,1001549,08-09-2022,21:18:30,576,190,188,f
1000166,1002629,1001937,17-11-2018,14:00:33,894,247,240,f
1000167,1000205,1002351,02-06-2017,20:16:55,303,201,195,f
1000168,1003357,1000105,20-08-2018,10:15:19,763,133,126,t
1000169,1000269,1003009,02-11-2022,17:33:00,884,76,66,f
1000170,1002823,1003852,02-01-2021,23:48:18,208,251,243,f
1000171,1003265,1000775,01-04-2019,05:42:39,714,40,,t
1000172,1004301,1000824,02-01-2021,05:51:55,325,500,,t
1000177,1001978,1004462,30-03-2017,01:38:49,547,390,382,t
1000181,1001596,1004158,02-02-2019,03:20:45,134,16,3,t
1000183,1002198,1004248,01-09-2020,07:14:34,770,47,41,f
1000184,1000887,1002952,26-03-2017,23:41:00,81,393,384,t
1000185,1004300,1001785,13-12-2017,09:51:35,526,17,,t
1000192,1000170,1002469,05-06-2017,07:07:47,640,196,166,t
1000194,1004015,1004338,06-05-2021,18:04:21,26,189,174,f
1000195,1001651,1003983,10-01-2021,09:48:46,170,425,415,t
1000197,1003210,1004411,15-10-2019,07:31:31,37,328,321,f
1000198,1004693,1001809,13-05-2022,20:58:55,156,333,324,f
1000201,1002501,1004038,13-02-2022,14:57:49,57,455,449,f
1000202,1001239,1002766,06-01-2020,03:31:17,169,444,,t
1000204,1000825,1004756,30-07-2021,22:58:10,378,128,109,t
1000207,1004772,1002468,22-03-2021,01:09:27,810,172,163,t
1000208,1003260,1000079,08-10-2018,07:16:57,718,174,164,f
1000210,1002246,1004712,05-02-2022,18:38:59,439,132,127,t
1000213,1002387,1000903,18-06-2022,14:04:41,846,198,,f
1000219,1002432,1004649,12-09-2021,06:59:56,799,444,441,f
1000220,1000907,1002012,04-09-2022,14:35:40,791,382,,t
1000221,1002445,1004980,05-05-2019,07:52:15,853,215,,f
1000222,1001908,1002436,21-05-2020,20:28:29,418,16,,t
1000223,1000843,1001618,20-07-2022,02:41:22,611,448,,f
1000225,1000505,1002659,11-06-2021,17:33:32,643,208,,f
1000231,1003678,1003871,05-06-2020,16:59:50,650,220,217,t
1000233,1003222,1004999,06-05-2022,04:11:40,90,412,401,t
1000234,1004150,1002379,26-05-2021,10:19:44,716,126,121,f
1000235,1003033,1003777,28-04-2020,21:02:50,402,460,452,t
1000239,1003626,1001832,08-07-2019,18:59:41,489,129,126,f
1000240,1000814,1003553,19-08-2021,21:48:00,21,475,,t
1000242,1002794,1000145,17-08-2018,20:34:24,188,393,,f
1000247,1000584,1000215,09-04-2021,09:23:32,783,260,248,f
1000248,1000645,1002254,20-03-2022,03:45:28,855,495,,t
1000253,1004927,1002544,16-10-2019,04:12:12,487,383,380,t
1000254,1001412,1000282,28-08-2021,05:45:31,185,361,346,t
1000255,1002124,1000520,31-10-2022,07:42:40,856,73,65,f
1000258,1001830,1003944,17-05-2019,14:22:48,892,452,,f
1000261,1003867,1002028,16-06-2019,13:29:41,730,196,171,t
1000262,1001057,1003887,25-10-2019,04:43:45,691,471,,t
1000263,1002116,1001859,15-09-2022,15:03:40,979,454,,f
1000264,1000820,1001776,15-07-2020,22:38:46,391,11,10,f
1000268,1000388,1004599,06-01-2020,02:53:38,399,361,,f
1000269,1004183,1003652,04-05-2017,04:45:18,523,456,453,f
1000270,1004373,1001092,16-06-2022,22:02:15,985,109,104,t
1000271,1001605,1002245,11-05-2021,10:09:51,602,255,,f
1000276,1003504,1001676,11-10-2021,10:14:11,139,478,475,t
1000277,1001374,1000460,03-03-2019,17:55:37,733,146,141,f
1000280,1001365,1002010,15-01-2018,16:11:54,775,201,196,t
1000284,1002435,1003434,03-01-2017,12:54:54,322,30,,f
1000285,1004726,1000991,30-06-2021,18:54:37,582,212,210,f
1000286,1000051,1000345,21-09-2017,10:05:38,671,79,77,t
1000289,1004472,1003615,18-10-2020,11:07:26,912,431,428,f
1000291,1000479,1004167,16-08-2022,05:03:43,733,324,318,f
1000292,1003481,1002080,25-07-2018,21:50:04,710,292,,t
1000296,1002759,1001808,23-03-2018,20:55:38,931,497,,t
1000298,1000741,1004229,12-10-2020,14:15:07,900,58,40,t
1000301,1002430,1000317,21-02-2022,03:56:11,170,227,220,f
1000302,1003830,1004990,13-02-2018,04:27:20,538,112,,t
1000308,1004590,1002420,19-11-2018,15:02:01,813,46,44,f
1000310,1004140,1002885,27-09-2020,10:05:06,397,425,420,t
1000311,1003272,1003574,21-03-2022,02:02:52,342,418,,t
1000320,1002152,1001169,24-11-2021,20:15:55,619,194,186,f
1000323,1004697,1004317,13-07-2019,21:32:08,181,214,,f
1000324,1004577,1004924,05-07-2020,21:58:48,960,340,,t
1000325,1003219,1000482,18-10-2020,06:26:14,372,237,233,f
1000328,1003679,1003183,19-09-2016,04:39:52,54,294,,t
1000331,1003091,1003251,30-05-2020,22:31:21,392,315,,f
1000333,1004616,1002142,05-08-2018,22:33:34,490,402,,t
1000335,1003792,1000767,13-03-2022,13:50:05,218,28,24,f
1000336,1003345,1003996,31-07-2022,19:55:20,62,390,,f
1000337,1002912,1000472,29-07-2021,23:21:29,75,154,,t
1000339,1003469,1001058,21-11-2017,19:02:57,10,214,,f
1000340,1003779,1002066,23-01-2018,02:48:18,327,160,,t
1000342,1003845,1000498,07-05-2022,01:15:29,327,111,103,t
1000344,1002902,1002464,06-09-2019,06:28:23,779,444,,t
1000345,1002159,1004618,20-08-2022,08:17:18,952,353,345,t
1000346,1002400,1000197,25-03-2019,15:24:39,53,338,,f
1000353,1003039,1004245,14-11-2021,19:18:06,732,439,438,t
1000355,1002703,1001593,18-10-2021,00:08:34,873,33,28,f
1000356,1003069,1001466,04-07-2021,17:39:46,372,463,456,f
1000357,1003576,1004806,21-04-2021,17:27:48,872,388,385,t
1000358,1003984,1002641,21-11-2020,21:22:04,747,466,465,f
1000359,1002497,1000812,20-11-2017,23:57:08,176,170,169,f
1000362,1002256,1003810,18-03-2021,02:26:35,240,118,109,t
1000363,1001077,1002755,01-02-2019,06:06:23,808,375,,t
1000365,1000100,1004914,12-05-2019,02:17:30,192,488,,f
1000367,1002771,1004194,01-09-2022,07:37:16,136,81,74,t
1000368,1000191,1001627,14-04-2022,14:32:30,940,403,399,t
1000374,1001408,1000783,14-06-2021,09:29:30,165,237,,f
1000375,1003163,1001088,27-10-2018,12:59:47,851,253,240,t
1000377,1000059,1000995,24-06-2020,12:27:00,512,444,438,t
1000378,1000527,1004457,24-11-2018,17:13:09,919,463,457,t
1000381,1000584,1002651,10-08-2022,08:22:31,948,86,,f
1000384,1002531,1001344,16-01-2021,20:51:19,611,457,447,f
1000385,1002447,1001148,10-09-2018,01:57:07,259,466,465,f
1000386,1001967,1002272,28-06-2022,19:24:08,151,303,300,t
1000387,1001407,1001623,29-12-2017,07:20:49,636,25,6,f
1000388,1002253,1003943,30-08-2021,09:45:37,957,228,,f
1000391,1001443,1004895,04-10-2022,04:06:15,423,235,,f
1000394,1001584,1003980,08-07-2021,20:10:52,997,129,,f
1000395,1000859,1004933,03-11-2016,12:32:09,848,28,,t
1000397,1004559,1000391,18-08-2017,11:34:26,136,374,,t
