venue_id,venue_name,address,zip_code,rating,company_id
1000002,Division,796 Oriole Crossing,71764,2.2,1000086
1000003,Sherman,579 Londonderry Drive,27406,4.5,1003568
1000004,Talmadge,13633 Green Ridge Parkway,97530,2.9,1001591
1000005,Maple,1 Golden Leaf Pass,64668,4.9,1004080
1000006,Pennsylvania,5247 Rockefeller Alley,68876,5.0,1000225
1000007,Elmside,369 Debra Circle,15555,3.9,1004343
1000008,Daystar,2 Cascade Pass,66205,4.4,1001426
1000009,Hanson,6 Lillian Road,55124,3.1,1004204
1000010,Mesta,258 Golf Court,13673,4.5,1002074
1000011,Towne,35850 Mifflin Plaza,56758,2.1,1001276
1000012,Schmedeman,0 Maryland Point,55033,1.7,1004893
1000013,Vernon,6459 Heffernan Hill,11764,1.1,1003686
1000014,Kenwood,25575 Pennsylvania Center,16748,3.3,1002414
1000015,Ohio,8322 Manitowish Plaza,19115,3.0,1002472
1000016,Sunbrook,22860 Ilene Circle,44288,3.5,1004730
1000017,Pine View,65490 Reindahl Circle,43761,2.3,1001282
1000018,Menomonie,3348 Fallview Street,69147,1.3,1004453
1000019,Little Fleur,0690 Dixon Circle,2675,3.6,1001336
1000020,Hanover,3 Novick Alley,95360,5.0,1003699
1000021,Sunnyside,25070 Ryan Park,96826,4.9,1001742
1000022,Kennedy,4960 Thierer Court,23075,3.9,1003176
1000023,Erie,250 Moland Avenue,15628,2.3,1001430
1000024,Utah,48 Glendale Lane,77960,3.1,1001221
1000025,Parkside,5 Rutledge Park,63830,1.6,1000406
1000026,Mitchell,63571 Kenwood Drive,75930,2.5,1004036
1000027,Sheridan,8 Granby Place,49659,1.3,1003458
1000028,Hoffman,098 Judy Center,72478,2.5,1001326
1000029,Randy,070 Hagan Park,27878,2.5,1002402
1000030,Manitowish,30435 Lake View Lane,38563,3.2,1002439
1000031,Haas,17604 Park Meadow Pass,16040,1.7,1003797
1000032,Shopko,0 Pawling Hill,43325,2.8,1000229
1000033,Golf,265 Merry Lane,37870,4.4,1003703
1000034,Becker,473 Fremont Court,31071,3.2,1002756
1000035,Kipling,7 Dawn Plaza,95628,3.7,1004833
1000036,Macpherson,3 Dennis Alley,93643,2.5,1000895
1000037,Garrison,01087 Debs Way,67349,1.7,1001060
1000038,Paget,3621 Forest Circle,36783,4.1,1004318
1000039,Ridgeway,966 Springs Way,37332,1.5,1002384
1000040,Sunfield,71893 Karstens Alley,99208,4.9,1003234
1000041,Kennedy,07 Maple Wood Circle,68326,1.5,1002387
1000042,Kedzie,8 Lakewood Gardens Circle,8735,3.2,1001714
1000043,Sloan,79 Schmedeman Trail,4576,4.8,1000287
1000044,Huxley,21952 Oak Terrace,19938,4.5,1002160
1000045,Northview,21032 Manitowish Street,88268,4.5,1003166
1000046,Fieldstone,50 Namekagon Terrace,50234,3.7,1002887
1000047,Erie,95 5th Way,36203,1.8,1004219
1000048,Fairfield,29 Portage Park,15723,3.3,1001555
1000049,Eastwood,5483 Red Cloud Place,46732,2.6,1001501
1000050,Quincy,476 West Court,33471,2.7,1004396
1000051,Kensington,08 Springs Court,81649,2.5,1002025
1000052,Shopko,450 Havey Park,78377,4.3,1001806
1000053,Lawn,9 Lillian Park,87322,3.5,1000637
1000054,Buena Vista,0 Pleasure Circle,98237,2.6,1004419
1000055,Schurz,73325 Thompson Crossing,64857,3.1,1001587
