event_id,event_name,event_type,duration,start_date,end_date,event_creater,rating
1000136,Spheniscus mendiculus,Concert,31,2023-06-06,2023-06-25,1002239,4.9
1000171,Lorythaixoides concolor,Movie,156,2023-07-17,2023-09-18,1003465,3.1
1000551,Ratufa indica,Stand-up,150,2023-06-19,2023-06-27,1003101,3.4
1000768,Perameles nasuta,Movie,133,2023-10-07,2023-11-23,1004665,4.1
1000966,Spizaetus coronatus,Concert,237,2023-06-02,2023-10-24,1003919,3.8
1000970,Dicrostonyx groenlandicus,Stand-up,206,2023-09-28,2023-10-10,1001773,1.4
1002174,Katz,Play,254,2023-09-03,2023-11-14,1004541,2.9
1002319,DabZ,Play,88,2023-05-29,2023-06-15,1001670,3.8
1002508,Lazzy,Play,272,2023-06-29,2023-08-15,1004343,4.2
1002774,Centizu,Play,120,2023-06-04,2023-06-11,1004238,4.0
1002829,Youopia,Stand-up,180,2023-07-01,2023-10-06,1000912,3.9
1002849,Devify,Stand-up,193,2023-08-06,2023-09-16,1004667,1.5
1003077,FIRST REPUBLIC BANK,Stand-up,57,2023-07-13,2023-09-29,1003810,2.7
1003284,"Dominion Energy, Inc.",Movie,296,2023-08-04,2023-08-27,1004968,1.5
1003388,"Discovery Communications, Inc.",Concert,195,2023-06-12,2023-08-02,1000776,3.4
1003601,Steel Partners Holdings LP,Stand-up,185,2023-06-06,2023-08-03,1003576,2.2
1003749,"The Chefs'' Warehouse, Inc.",Movie,270,2023-07-18,2023-07-28,1003805,1.1
1003756,Chemed Corp.,Movie,285,2023-11-23,2023-11-25,1004257,4.2
1003861,Banco Santander Chile,Play,193,2023-06-16,2023-08-02,1000825,2.8
1003895,"State National Companies, Inc.",Concert,45,2023-08-18,2023-11-25,1001660,2.9
1003905,National Steel Company,Concert,96,2023-08-27,2023-10-12,1001999,3.8
1004018,Rinodina Lichen,Concert,96,2023-10-14,2023-10-21,1002388,4.3
1004056,Eelkek,Concert,82,2023-07-08,2023-09-10,1001051,3.7
1004139,Cowpea,Stand-up,176,2018-01-30,2024-12-11,1004030,1.9
1004266,Eyebright,Movie,226,2023-06-06,2023-09-12,1004453,2.9
1004269,Hoover's Cryptantha,Play,137,2023-10-20,2023-11-17,1000571,1.2
1004397,Drummond's Campion,Concert,237,2023-06-27,2023-10-09,1000974,2.2
1004467,Sapphire Woollystar,Concert,92,2023-09-19,2023-09-29,1004544,2.2
1004501,Andean Watermilfoil,Stand-up,109,2023-07-06,2023-10-09,1000807,4.0
1004788,Texas Saltbush,Stand-up,281,2023-07-13,2023-08-31,1002508,2.6
1004898,Japanese Yellow Loosestrife,Concert,146,2023-10-21,2023-10-27,1004733,1.2
1001016,Butorides striatus,Play,70,2023-06-30,2023-10-31,1002646,2.9
1001072,Kobus defassa,Concert,48,2023-07-14,2023-07-20,1001565,2.5
1001448,Eubalaena australis,Play,33,2023-09-03,2023-10-27,1001705,3.0
1001586,Agkistrodon piscivorus,Play,206,2023-10-19,2023-11-02,1002214,5.0
1001695,Alcelaphus buselaphus caama,Movie,299,2023-05-30,2023-06-21,1001392,1.6
1001710,Macropus robustus,Play,74,2023-09-06,2023-11-14,1001877,2.9
1001770,Melursus ursinus,Movie,157,2023-10-07,2023-10-10,1004488,4.9
1001908,Varanus salvator,Concert,77,2018-09-07,2024-06-14,1000627,2.7
1001909,Agkistrodon piscivorus,Stand-up,251,2021-07-01,2024-01-09,1000367,3.0
1001910,Bubulcus ibis,Concert,147,2022-07-08,2025-07-30,1002549,3.9
1001911,unavailable,Play,83,2019-07-09,2024-01-11,1003083,2.1
1001912,Sarkidornis melanotos,Movie,207,2016-08-05,2025-07-13,1002234,4.1
1001919,Chionis alba,Movie,48,2018-01-31,2025-08-11,1000420,4.6
1002050,Dynabox,Movie,71,2019-06-06,2024-11-20,1004441,2.9
1002282,Eimbee,Concert,286,2023-03-16,2024-04-13,1004236,4.4
1002283,Quatz,Concert,249,2015-12-24,2023-06-13,1001534,2.4
1002284,Kazu,Movie,234,2022-07-01,2023-08-27,1004826,2.3
1002285,Voonte,Concert,162,2022-03-20,2025-09-14,1003317,2.2
1002286,Layo,Play,104,2023-02-26,2025-01-08,1000684,4.8
1000001,Galago crassicaudataus,Concert,258,2022-11-20,2024-05-31,1003656,2.7
1000002,Pseudalopex gymnocercus,Stand-up,187,2017-02-24,2023-11-01,1002859,3.6
1000003,Agama sp.,Stand-up,161,2016-01-18,2025-02-07,1004366,2.0
1000004,Ateles paniscus,Play,123,2018-09-13,2024-02-26,1001136,1.3
1000005,Antilocapra americana,Stand-up,210,2018-12-18,2024-05-09,1001823,2.8
1000006,Geococcyx californianus,Stand-up,71,2019-02-12,2025-08-24,1002148,3.8
1000007,Odocoilenaus virginianus,Stand-up,168,2018-05-19,2024-12-04,1000061,3.8
1000008,Actophilornis africanus,Play,30,2021-01-24,2025-08-04,1004493,3.1
1000009,Cervus elaphus,Stand-up,276,2023-06-20,2024-12-14,1002417,1.5
1000010,Melophus lathami,Stand-up,32,2017-09-03,2024-12-31,1000105,4.9
1000011,Dasyprocta leporina,Play,250,2018-05-12,2025-04-20,1003332,1.7
1000012,Elephas maximus bengalensis,Stand-up,237,2019-09-02,2025-01-08,1004915,3.7
1000013,Suricata suricatta,Concert,128,2016-07-31,2025-11-13,1002528,2.9
1000014,Hippopotamus amphibius,Stand-up,135,2016-08-17,2025-10-22,1000252,1.0
1000015,Spermophilus armatus,Concert,245,2020-04-27,2024-01-29,1004251,3.9
1000016,Corvus brachyrhynchos,Concert,154,2021-04-25,2023-09-20,1000064,3.5
1000017,Aonyx cinerea,Concert,157,2023-03-14,2023-08-14,1001589,5.0
1000018,Mirounga leonina,Concert,296,2017-02-01,2025-02-01,1002257,2.9
1000019,Sagittarius serpentarius,Play,88,2023-04-16,2025-02-03,1000457,1.6
1000020,Myiarchus tuberculifer,Stand-up,157,2016-10-30,2025-04-28,1004022,2.1
1000021,Sitta canadensis,Concert,292,2021-03-11,2023-07-31,1001999,1.8
1000022,Bubalus arnee,Movie,276,2022-09-03,2024-10-04,1004029,3.4
1000023,Cebus apella,Movie,241,2018-01-19,2025-09-26,1002914,1.7
1000024,Mazama gouazoubira,Movie,128,2023-05-08,2023-11-26,1001264,4.8
1000025,Butorides striatus,Concert,110,2022-01-26,2024-01-25,1004466,4.2
1000026,Macaca mulatta,Concert,265,2016-03-08,2025-10-11,1003418,1.4
1000027,Plegadis falcinellus,Concert,73,2021-06-05,2024-04-02,1001518,2.7
1000028,Coluber constrictor,Concert,262,2016-10-18,2025-01-07,1001138,2.5
1000029,Phoenicopterus ruber,Concert,253,2019-08-16,2024-01-20,1001923,1.2
1000030,Ninox superciliaris,Concert,215,2023-06-10,2025-06-15,1000987,4.0
1000031,Uraeginthus granatina,Stand-up,219,2021-09-03,2024-11-11,1001502,1.8
1000032,Crotaphytus collaris,Concert,161,2019-08-08,2024-03-19,1002885,4.6
