purchase_id,rent_id,user_id,purchase
1000001,1000518,1002619,30-11-2018 14:02
1000002,1004550,1001791,29-07-2018 06:40
1000003,1000284,1004188,02-12-2018 04:13
1000004,1004797,1000455,30-06-2022 12:46
1000005,1002119,1002599,21-12-2020 21:57
1000006,1003611,1002162,12-06-2020 10:42
1000007,1000410,1003052,23-01-2016 01:06
1000008,1002659,1002828,03-12-2020 18:58
1000009,1002718,1003906,25-11-2018 12:59
1000010,1001047,1004120,03-09-2021 00:13
1000011,1004515,1002740,02-02-2018 05:13
1000012,1002661,1002256,19-09-2019 20:18
1000013,1001924,1003122,05-03-2017 22:50
1000014,1002003,1004880,06-01-2021 02:59
1000015,1004771,1000542,06-07-2022 06:53
1000016,1002926,1000603,08-06-2020 11:12
1000017,1004222,1003065,08-09-2018 13:43
1000018,1003363,1003787,07-07-2018 21:06
1000019,1001004,1000256,17-07-2020 15:46
1000020,1000991,1003523,30-01-2020 16:16
1000021,1004784,1003877,22-09-2018 22:52
1000022,1003373,1001859,20-09-2019 14:44
1000023,1000729,1002607,11-11-2019 06:25
1000024,1003528,1000350,22-02-2019 22:11
1000025,1002981,1004106,24-05-2016 16:49
1000026,1001561,1002663,20-08-2019 18:21
1000027,1002230,1002491,05-08-2017 01:18
1000028,1003407,1004871,21-09-2018 15:16
1000029,1001449,1003588,04-10-2020 19:59
1000030,1001340,1000133,17-10-2018 17:57
1000031,1001802,1004069,06-10-2017 13:39
1000032,1003007,1002361,21-12-2015 19:26
1000033,1003466,1001046,27-03-2019 15:31
1000034,1003630,1000648,31-05-2022 07:27
1000035,1004377,1001708,16-03-2022 03:33
1000036,1001533,1003484,14-12-2017 02:02
1000037,1001971,1003875,01-03-2019 04:08
1000038,1004652,1003290,17-09-2022 09:17
1000039,1003272,1002768,09-09-2016 03:24
1000040,1000041,1004296,24-10-2019 04:58
1000041,1002824,1003431,26-09-2016 14:41
1000042,1000013,1003730,28-06-2019 20:23
1000043,1002285,1000241,07-11-2018 11:51
1000044,1002487,1001232,30-01-2022 21:46
1000045,1002451,1001857,23-02-2016 12:35
1000046,1001852,1000111,19-04-2019 02:20
1000047,1003560,1002065,27-12-2021 03:18
1000048,1004174,1001729,10-01-2017 10:33
1000049,1002521,1003863,03-05-2021 08:14
1000050,1001706,1001232,21-11-2017 00:22
1000051,1002725,1001403,31-05-2018 20:16
1000052,1000769,1001135,12-12-2021 11:24
1000053,1001933,1000739,01-05-2017 13:18
1000054,1002059,1001984,06-09-2017 16:01
1000055,1004912,1003262,06-03-2017 13:36
1000056,1001029,1003864,24-12-2016 11:20
1000057,1000117,1003451,09-06-2018 23:01
1000058,1000963,1001536,23-02-2020 15:38
1000059,1000949,1003209,09-03-2016 21:15
1000060,1002254,1004105,23-05-2017 01:46
1000061,1001027,1003450,13-02-2019 08:14
1000062,1003249,1003041,17-12-2021 09:59
1000063,1004528,1000576,12-06-2018 22:18
1000064,1002131,1004613,17-11-2018 04:13
1000065,1004210,1003648,13-08-2018 19:25
1000066,1002233,1002924,23-04-2022 09:46
1000067,1000435,1002932,25-05-2016 11:27
1000068,1003990,1004440,13-10-2018 11:51
1000069,1003098,1001131,13-12-2021 07:14
1000070,1004620,1000027,22-03-2021 00:16
1000071,1002364,1001264,29-03-2018 07:49
1000072,1001967,1005000,10-05-2021 01:48
1000073,1001090,1000153,19-08-2016 03:27
1000074,1001193,1003780,12-08-2018 14:59
1000075,1003452,1004705,06-03-2016 13:32
1000076,1003453,1002242,24-12-2019 16:16
